trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,18,-7.965251620058066,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,11,28.569966599374688,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,7,21.567800641751976,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,15,-9.898441332719631,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,6,18.663100219272017,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,22,14.864959276270227,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,7,-0.025418222859823203,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,15,9.635912767062393,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,5,-10.763842038410619,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,15,10.788697234075396,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,6,28.078928140522383,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,12,-4.606980003904953,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,16,7.36667563378805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",35,18,-33.21878975621283,"{0: 14, 1: 0, 2: 0, 3: 3, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,13,22.586450953267033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,14,24.391722288480004,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,13,21.399204332029782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,5,4.55685038710326,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,12,17.704908280900472,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,8,-0.48780295244813265,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,15,17.52663951971739,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,19,19.31354796634337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,16,28.186126751468176,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",25,15,-21.40772772039894,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,8,40.03851660673062,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,21,19.59490850281994,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,3,40.24614631371727,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,9,26.042215656633207,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,9,19.772820475885915,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",35,19,30.160293159449665,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,12,23.80319800960155,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,11,27.256128137067034,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,9,30.733799288097742,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,5,7.6152322919722595,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,9,38.084985078013275,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,11,32.74209200423418,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,8,22.93985559141154,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,8,23.539609269924135,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,5,24.15625233604348,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,9,19.80009372597014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,9,17.455520367615783,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,10,17.438298101173448,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,6,26.160150082908956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,16,26.818019139924942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,12,17.511480831767855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,11,15.299041967488089,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,11,27.356338321855635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,6,28.27704214925321,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,11,-4.873741384394027,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
